brand_id;brand;model_id;model;version_id;version;trim;category;energy;horsepower_ch;fiscal_hp_cv;mixed_consumption_l_100km;model_year;public_price_mad;promo_price_mad;turnkey_price_mad;registration_fee_mad;paint_fee_mad;luxury_tax_mad;depreciation_y1_pct;depreciation_y2_pct;depreciation_y3_pct;source_path
19;Hyundai;237;Elantra;21720;1.6 GDI Hybride 141 AT;Seductive;Familiale;Hybride;141;9;"4,4";2026;359900;0;374895;8995;6000;0;25;15;10;https://www.wandaloo.com/neuf/hyundai/elantra/fiche-technique/1-6-gdi-hybride-141-at-seductive/21720.html
19;Hyundai;1857;Grand i10 Sedan;21686;1.2 MPI 83 AT;Attractive;Micro citadine;Essence;83;7;-;2026;162900;0;172895;6495;3500;0;25;15;10;https://www.wandaloo.com/neuf/hyundai/grand-i10-sedan/fiche-technique/1-2-mpi-83-at-attractive/21686.html
19;Hyundai;1857;Grand i10 Sedan;21687;1.2 MPI 83 AT;Inventive;Micro citadine;Essence;83;7;-;2026;174900;0;184895;6495;3500;0;25;15;10;https://www.wandaloo.com/neuf/hyundai/grand-i10-sedan/fiche-technique/1-2-mpi-83-at-inventive/21687.html
19;Hyundai;245;i10;21682;1.0 MPI 67 AT;Attractive;Micro citadine;Essence;67;6;"5,3";2026;162900;0;172145;6245;3000;0;25;15;10;https://www.wandaloo.com/neuf/hyundai/i10/fiche-technique/1-0-mpi-67-at-attractive/21682.html
19;Hyundai;245;i10;21683;1.0 MPI 67 AT;Inventive;Micro citadine;Essence;67;6;"5,3";2026;173900;0;183145;6245;3000;0;25;15;10;https://www.wandaloo.com/neuf/hyundai/i10/fiche-technique/1-0-mpi-67-at-inventive/21683.html
19;Hyundai;245;i10;21684;1.0 MPI 67 AT;Seductive;Micro citadine;Essence;67;6;"5,3";2026;183900;0;193145;6245;3000;0;25;15;10;https://www.wandaloo.com/neuf/hyundai/i10/fiche-technique/1-0-mpi-67-at-seductive/21684.html
19;Hyundai;769;i20;21692;1.0 T-GDI 100 MHEV AT;Attractive;Citadine;Essence MHEV;100;6;"5,6";2026;205900;0;218145;8745;3500;0;25;15;10;https://www.wandaloo.com/neuf/hyundai/i20/fiche-technique/1-0-t-gdi-100-mhev-at-attractive/21692.html
19;Hyundai;769;i20;21693;1.0 T-GDI 100 MHEV AT;Inventive;Citadine;Essence MHEV;100;6;"5,6";2026;221900;0;234145;8745;3500;0;25;15;10;https://www.wandaloo.com/neuf/hyundai/i20/fiche-technique/1-0-t-gdi-100-mhev-at-inventive/21693.html
19;Hyundai;769;i20;21694;1.0 T-GDI 100 MHEV AT;Seductive;Citadine;Essence MHEV;100;6;"5,6";2026;236900;0;249145;8745;3500;0;25;15;10;https://www.wandaloo.com/neuf/hyundai/i20/fiche-technique/1-0-t-gdi-100-mhev-at-seductive/21694.html
19;Hyundai;769;i20;21689;1.4 MPI 100 AT;Attractive;Citadine;Essence;100;8;"6,4";2026;194900;0;207145;8745;3500;0;25;15;10;https://www.wandaloo.com/neuf/hyundai/i20/fiche-technique/1-4-mpi-100-at-attractive/21689.html
19;Hyundai;769;i20;21690;1.4 MPI 100 AT;Inventive;Citadine;Essence;100;8;"6,4";2026;210900;0;223145;8745;3500;0;25;15;10;https://www.wandaloo.com/neuf/hyundai/i20/fiche-technique/1-4-mpi-100-at-inventive/21690.html
19;Hyundai;769;i20;21691;1.4 MPI 100 AT;Seductive;Citadine;Essence;100;8;"6,4";2026;226900;0;239145;8745;3500;0;25;15;10;https://www.wandaloo.com/neuf/hyundai/i20/fiche-technique/1-4-mpi-100-at-seductive/21691.html
19;Hyundai;1710;IONIQ 5;21750;77 kWh 2WD;Edison;4x4 / SUV / Crossover;Electrique;217;11;"17,9";2026;599000;0;599000;0;0;0;25;15;10;https://www.wandaloo.com/neuf/hyundai/ioniq-5/fiche-technique/77-kwh-2wd-edison/21750.html
19;Hyundai;1710;IONIQ 5;21751;77 kWh 4WD;Edison Ultra;4x4 / SUV / Crossover;Electrique;306;15;19;2026;639000;0;639000;0;0;0;25;15;10;https://www.wandaloo.com/neuf/hyundai/ioniq-5/fiche-technique/77-kwh-4wd-edison-ultra/21751.html
19;Hyundai;1826;IONIQ 6;21753;168 kW 2WD;Edison;Familiale;Electrique;229;11;"14,3";2026;629900;0;629900;0;0;0;25;15;10;https://www.wandaloo.com/neuf/hyundai/ioniq-6/fiche-technique/168-kw-2wd-edison/21753.html
19;Hyundai;1826;IONIQ 6;21754;168 kW 2WD;Edison Tech;Familiale;Electrique;229;11;"14,3";2026;654900;0;654900;0;0;0;25;15;10;https://www.wandaloo.com/neuf/hyundai/ioniq-6/fiche-technique/168-kw-2wd-edison-tech/21754.html
19;Hyundai;1826;IONIQ 6;21755;239 kW 4WD;Edison;Familiale;Electrique;325;11;"16,9";2026;675900;0;675900;0;0;0;25;15;10;https://www.wandaloo.com/neuf/hyundai/ioniq-6/fiche-technique/239-kw-4wd-edison/21755.html
19;Hyundai;1826;IONIQ 6;21756;239 kW 4WD;Edison Tech;Familiale;Electrique;325;11;"16,9";2026;695900;0;695900;0;0;0;25;15;10;https://www.wandaloo.com/neuf/hyundai/ioniq-6/fiche-technique/239-kw-4wd-edison-tech/21756.html
19;Hyundai;994;Kona;21702;1.6 GDi 141 HEV DCT;Luxe;4x4 / SUV / Crossover;Hybride;141;9;"3,9";2026;358900;0;372895;8995;5000;0;25;15;10;https://www.wandaloo.com/neuf/hyundai/kona/fiche-technique/1-6-gdi-141-hev-dct-luxe/21702.html
19;Hyundai;994;Kona;21704;1.6 GDi 141 HEV DCT;N-line;4x4 / SUV / Crossover;Hybride;141;9;"3,9";2026;399900;0;413895;8995;5000;0;25;15;10;https://www.wandaloo.com/neuf/hyundai/kona/fiche-technique/1-6-gdi-141-hev-dct-n-line/21704.html
19;Hyundai;994;Kona;21701;1.6 GDi 141 HEV DCT;Premium;4x4 / SUV / Crossover;Hybride;141;9;"3,9";2026;337900;0;351895;8995;5000;0;25;15;10;https://www.wandaloo.com/neuf/hyundai/kona/fiche-technique/1-6-gdi-141-hev-dct-premium/21701.html
19;Hyundai;994;Kona;21703;1.6 GDi 141 HEV DCT;Ultimate;4x4 / SUV / Crossover;Hybride;141;9;"3,9";2026;379900;0;393895;8995;5000;0;25;15;10;https://www.wandaloo.com/neuf/hyundai/kona/fiche-technique/1-6-gdi-141-hev-dct-ultimate/21703.html
19;Hyundai;1858;Santa Fe HEV;21747;1.6 T-GDi HEV 2WD;Luxe;4x4 / SUV / Crossover;Hybride;215;9;"6,9";2026;545900;0;561895;8995;7000;0;25;15;10;https://www.wandaloo.com/neuf/hyundai/santa-fe-hev/fiche-technique/1-6-t-gdi-hev-2wd-luxe/21747.html
19;Hyundai;1858;Santa Fe HEV;21746;1.6 T-GDi HEV 2WD;Premium;4x4 / SUV / Crossover;Hybride;215;9;"6,9";2026;515900;0;531895;8995;7000;0;25;15;10;https://www.wandaloo.com/neuf/hyundai/santa-fe-hev/fiche-technique/1-6-t-gdi-hev-2wd-premium/21746.html
19;Hyundai;1858;Santa Fe HEV;21748;1.6 T-GDi HEV 4WD;Ultimate Calligraphy;4x4 / SUV / Crossover;Hybride;215;9;"7,3";2026;609900;0;625895;8995;7000;0;25;15;10;https://www.wandaloo.com/neuf/hyundai/santa-fe-hev/fiche-technique/1-6-t-gdi-hev-4wd-ultimate-calligraphy/21748.html
