source;brand_id;brand;brand_slug;model_id;model;model_slug;version_id;version;version_slug;model_image_url;source_url
moteur.ma;91;Skoda;skoda;10214;Karoq;karoq;3165;"2,0L TDI Business";20l-tdi-business;https://v3.moteur.ma/storage/media/images/models/nouvelle-karoq-313.png;https://www.moteur.ma/fr/neuf/voiture/skoda/karoq/20l-tdi-business/
moteur.ma;91;Skoda;skoda;10214;Karoq;karoq;3164;"2,0L TDI Selection";20l-tdi-selection;https://v3.moteur.ma/storage/media/images/models/nouvelle-karoq-313.png;https://www.moteur.ma/fr/neuf/voiture/skoda/karoq/20l-tdi-selection/
moteur.ma;91;Skoda;skoda;10214;Karoq;karoq;4304;"2,0L TDI Style";20l-tdi-style;https://v3.moteur.ma/storage/media/images/models/nouvelle-karoq-313.png;https://www.moteur.ma/fr/neuf/voiture/skoda/karoq/20l-tdi-style/
moteur.ma;91;Skoda;skoda;10149;Kodiaq;kodiaq;3158;2.0 TDI 150 DSG Business;20-tdi-150-dsg-business;https://v3.moteur.ma/storage/media/images/models/nouvelle-kodiaq-543.png;https://www.moteur.ma/fr/neuf/voiture/skoda/kodiaq/20-tdi-150-dsg-business/
moteur.ma;91;Skoda;skoda;10149;Kodiaq;kodiaq;3883;2.0 TDI 150 DSG Corporate;20-tdi-150-dsg-corporate;https://v3.moteur.ma/storage/media/images/models/nouvelle-kodiaq-543.png;https://www.moteur.ma/fr/neuf/voiture/skoda/kodiaq/20-tdi-150-dsg-corporate/
moteur.ma;91;Skoda;skoda;10149;Kodiaq;kodiaq;3159;2.0 TDI 150 DSG Selection;20-tdi-150-dsg-selection;https://v3.moteur.ma/storage/media/images/models/nouvelle-kodiaq-543.png;https://www.moteur.ma/fr/neuf/voiture/skoda/kodiaq/20-tdi-150-dsg-selection/
moteur.ma;91;Skoda;skoda;10149;Kodiaq;kodiaq;3157;2.0 TDI 150 DSG Sportline;20-tdi-150-dsg-sportline;https://v3.moteur.ma/storage/media/images/models/nouvelle-kodiaq-543.png;https://www.moteur.ma/fr/neuf/voiture/skoda/kodiaq/20-tdi-150-dsg-sportline/
moteur.ma;91;Skoda;skoda;1063;Octavia;octavia;2918;2.0 TDI 150 DSG Elegance;20-tdi-150-dsg-elegance;https://v3.moteur.ma/storage/media/images/models/nouvelle-octavia-509.png;https://www.moteur.ma/fr/neuf/voiture/skoda/octavia/20-tdi-150-dsg-elegance/
moteur.ma;91;Skoda;skoda;1063;Octavia;octavia;4233;2.0 TDI 150 DSG Luxury;20-tdi-150-dsg-luxury;https://v3.moteur.ma/storage/media/images/models/nouvelle-octavia-509.png;https://www.moteur.ma/fr/neuf/voiture/skoda/octavia/20-tdi-150-dsg-luxury/
moteur.ma;91;Skoda;skoda;1063;Octavia;octavia;2917;2.0 TDI 150 DSG Selection;20-tdi-150-dsg-selection;https://v3.moteur.ma/storage/media/images/models/nouvelle-octavia-509.png;https://www.moteur.ma/fr/neuf/voiture/skoda/octavia/20-tdi-150-dsg-selection/
moteur.ma;91;Skoda;skoda;1063;Octavia;octavia;2919;2.0 TDI 150 DSG Style;20-tdi-150-dsg-style;https://v3.moteur.ma/storage/media/images/models/nouvelle-octavia-509.png;https://www.moteur.ma/fr/neuf/voiture/skoda/octavia/20-tdi-150-dsg-style/
moteur.ma;91;Skoda;skoda;10386;Scala;scala;3603;1.0 TSI 115 ch Edition sport;10-tsi-115-ch-edition-sport;https://v3.moteur.ma/storage/media/images/models/nouvelle-scala-302.png;https://www.moteur.ma/fr/neuf/voiture/skoda/scala/10-tsi-115-ch-edition-sport/
moteur.ma;91;Skoda;skoda;10386;Scala;scala;3724;1.0 TSI 115 ch ELEGANCE;10-tsi-115-ch-elegance;https://v3.moteur.ma/storage/media/images/models/nouvelle-scala-302.png;https://www.moteur.ma/fr/neuf/voiture/skoda/scala/10-tsi-115-ch-elegance/
moteur.ma;91;Skoda;skoda;10386;Scala;scala;3725;1.0 TSI 115 ch Style;10-tsi-115-ch-style;https://v3.moteur.ma/storage/media/images/models/nouvelle-scala-302.png;https://www.moteur.ma/fr/neuf/voiture/skoda/scala/10-tsi-115-ch-style/
moteur.ma;91;Skoda;skoda;10386;Scala;scala;3602;1.0 TSI 115 DSG Active;10-tsi-115-dsg-active;https://v3.moteur.ma/storage/media/images/models/nouvelle-scala-302.png;https://www.moteur.ma/fr/neuf/voiture/skoda/scala/10-tsi-115-dsg-active/
moteur.ma;91;Skoda;skoda;1066;Superb;superb;3160;"2,0L TDI ÉLÉGANCE";20l-tdi-elegance;https://v3.moteur.ma/storage/media/images/models/nouvelle-superb-591.png;https://www.moteur.ma/fr/neuf/voiture/skoda/superb/20l-tdi-elegance/
moteur.ma;91;Skoda;skoda;1066;Superb;superb;3161;2.0 TDI 150 DSG Business;20-tdi-150-dsg-business;https://v3.moteur.ma/storage/media/images/models/nouvelle-superb-591.png;https://www.moteur.ma/fr/neuf/voiture/skoda/superb/20-tdi-150-dsg-business/
moteur.ma;91;Skoda;skoda;1066;Superb;superb;3163;2.0 TDI 150 DSG L&K;20-tdi-150-dsg-lk;https://v3.moteur.ma/storage/media/images/models/nouvelle-superb-591.png;https://www.moteur.ma/fr/neuf/voiture/skoda/superb/20-tdi-150-dsg-lk/
moteur.ma;91;Skoda;skoda;1066;Superb;superb;3162;2.0 TDI 150 DSG Selection;20-tdi-150-dsg-selection;https://v3.moteur.ma/storage/media/images/models/nouvelle-superb-591.png;https://www.moteur.ma/fr/neuf/voiture/skoda/superb/20-tdi-150-dsg-selection/
moteur.ma;92;Smart;smart;11104;#1;1;4504;200 kW AT Premium;200-kw-at-premium;https://v3.moteur.ma/storage/media/images/models/nouvelle-1-355.png;https://www.moteur.ma/fr/neuf/voiture/smart/1/200-kw-at-premium/
moteur.ma;92;Smart;smart;11104;#1;1;4502;200 kW AT Pro;200-kw-at-pro;https://v3.moteur.ma/storage/media/images/models/nouvelle-1-355.png;https://www.moteur.ma/fr/neuf/voiture/smart/1/200-kw-at-pro/
moteur.ma;92;Smart;smart;11104;#1;1;4503;200 kW AT Pro+;200-kw-at-pro;https://v3.moteur.ma/storage/media/images/models/nouvelle-1-355.png;https://www.moteur.ma/fr/neuf/voiture/smart/1/200-kw-at-pro/
moteur.ma;92;Smart;smart;11104;#1;1;4505;315 kW AT Brabus;315-kw-at-brabus;https://v3.moteur.ma/storage/media/images/models/nouvelle-1-355.png;https://www.moteur.ma/fr/neuf/voiture/smart/1/315-kw-at-brabus/
moteur.ma;92;Smart;smart;11105;#3;3;4508;200 kW AT Premium;200-kw-at-premium;https://v3.moteur.ma/storage/media/images/models/nouvelle-3-518.png;https://www.moteur.ma/fr/neuf/voiture/smart/3/200-kw-at-premium/
moteur.ma;92;Smart;smart;11105;#3;3;4506;200 kW AT Pro;200-kw-at-pro;https://v3.moteur.ma/storage/media/images/models/nouvelle-3-518.png;https://www.moteur.ma/fr/neuf/voiture/smart/3/200-kw-at-pro/
moteur.ma;92;Smart;smart;11105;#3;3;4507;200 kW AT Pro+;200-kw-at-pro;https://v3.moteur.ma/storage/media/images/models/nouvelle-3-518.png;https://www.moteur.ma/fr/neuf/voiture/smart/3/200-kw-at-pro/
moteur.ma;92;Smart;smart;11105;#3;3;4509;315 kW AT Brabus;315-kw-at-brabus;https://v3.moteur.ma/storage/media/images/models/nouvelle-3-518.png;https://www.moteur.ma/fr/neuf/voiture/smart/3/315-kw-at-brabus/
moteur.ma;92;Smart;smart;11106;#5;5;4510;250 kW AT Pro;250-kw-at-pro;https://v3.moteur.ma/storage/media/images/models/nouvelle-5-600.png;https://www.moteur.ma/fr/neuf/voiture/smart/5/250-kw-at-pro/
